Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,285,29,Sansa II,Sansa Stark,Lothor Brune,,Lothor,Brune,,,,M,A
A Game of Thrones,290,29,Sansa II,Sansa Stark,Moon Boy,,Moon Boy,,,,,M,A
A Game of Thrones,297,30,Eddard VII,Eddard Stark,Lancel Lannister,,Lancel,Lannister,,,,M,A
A Game of Thrones,301,30,Eddard VII,Eddard Stark,Dacks,,Dacks,,,,,M,U
A Game of Thrones,306,30,Eddard VII,Eddard Stark,Anguy,,Anguy,,,,,M,U
A Game of Thrones,310,30,Eddard VII,Eddard Stark,Cayn,,Cayn,,,,,M,D
A Game of Thrones,314,31,Tyrion IV,Tyrion Lannister,Chiggen,,Chiggen,,,,,M,D
A Game of Thrones,314,31,Tyrion IV,Tyrion Lannister,Bronn,,Bronn,,,,,M,A
A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,Mohor,,Mohor,,,,,M,D
A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,Ser Willis Wode,Ser,Willis,Wode,,,,M,A
A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,Kurleket,,Kurleket,,,,,M,D
A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,Lharys,,Lharys,,,,,M,D
A Game of Thrones,350,34,Catelyn VI,Catelyn Tully,Godwyn,,Godwyn,,,,,M,U
A Game of Thrones,341,33,Eddard VIII,Eddard Stark,Lord Roose Bolton,Lord,Roose,Bolton,,,,M,A
A Game of Thrones,346,33,Eddard VIII,Eddard Stark,Lady Tanda Stokeworth,Lady,Tanda,Stokeworth,,,,F,D
A Game of Thrones,349,34,Catelyn VI,Catelyn Tully,Ser Donnel Waynwood,Ser,Donnel,Waynwood,,,,M,A
A Game of Thrones,354,34,Catelyn VI,Catelyn Tully,Lord Nestor Royce,Lord,Nestor,Royce,,,,M,A
A Game of Thrones,358,34,Catelyn VI,Catelyn Tully,Mya Stone,,Mya,Stone,,,,F,A
A Game of Thrones,359,34,Catelyn VI,Catelyn Tully,Mychel Redfort,,Mychel,Redfort,,,,M,A
A Game of Thrones,359,34,Catelyn VI,Catelyn Tully,Ser Lyn Corbray,Ser,Lyn,Corbray,,,,M,A
A Game of Thrones,362,34,Catelyn VI,Catelyn Tully,Ser Vardis Egen,Ser,Vardis,Egen,,,,M,D
A Game of Thrones,366,35,Eddard IX,Eddard Stark,Heward,,Heward,,,,,M,D
A Game of Thrones,366,35,Eddard IX,Eddard Stark,Wyl,,Wyl,,,,,M,D
A Game of Thrones,367,35,Eddard IX,Eddard Stark,Chataya,,Chataya,,,,,F,A
A Game of Thrones,368,35,Eddard IX,Eddard Stark,Barra,,Barra,,,,,F,D
A Game of Thrones,368,35,Eddard IX,Eddard Stark,Lady Selyse Baratheon (Florent),Lady,Selyse,Baratheon,Florent,,,F,A
A Game of Thrones,371,35,Eddard IX,Eddard Stark,Tregar,,Tregar,,,,,M,D
A Game of Thrones,383,37,Bran V,Bran Stark,Joseth,,Joseth,,,,,M,U
A Game of Thrones,384,37,Bran V,Bran Stark,Kyra,,Kyra,,,,,F,D
A Game of Thrones,385,37,Bran V,Bran Stark,Bessa,,Bessa,,,,,F,D
A Game of Thrones,390,37,Bran V,Bran Stark,Stiv,,Stiv,,,,,M,D
A Game of Thrones,390,37,Bran V,Bran Stark,Hali,,Hali,,,,,F,D
A Game of Thrones,390,37,Bran V,Bran Stark,Osha,,Osha,,,,,F,A
A Game of Thrones,391,37,Bran V,Bran Stark,Farlen,,Farlen,,,,,M,D
A Game of Thrones,394,37,Bran V,Bran Stark,Quent,,Quent,,,,,M,U
A Game of Thrones,395,37,Bran V,Bran Stark,Wallen,,Wallen,,,,,M,D
A Game of Thrones,395,37,Bran V,Bran Stark,Wayn,,Wayn,,,,,M,U
A Game of Thrones,395,37,Bran V,Bran Stark,Mord,,Mord,,,,,M,A
A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Ser Albar Royce,Ser,Albar,Royce,,,,M,A
A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Lord Eon Hunter,Lord,Eon,Hunter,,,,M,D
A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Lady Anya Waynwood,Lady,Anya,Waynwood,,,,F,A
A Game of Thrones,409,39,Eddard X,Eddard Stark,Martyn Cassel,,Martyn,Cassel,,,,M,D
A Game of Thrones,409,39,Eddard X,Eddard Stark,Theo Wull,,Theo,Wull,,,,M,D
A Game of Thrones,409,39,Eddard X,Eddard Stark,Ethan Glover,,Ethan,Glover,,,,M,D
